"town","year","mean_psf","rebased_psf"
"Ang Mo Kio",2017,4737.25865840907,100
"Ang Mo Kio",2018,4499.31042800123,94.9770901788218
"Ang Mo Kio",2019,4259.81239348173,89.9214651477848
"Ang Mo Kio",2020,4404.83475428803,92.9827791114813
"Ang Mo Kio",2021,4889.42402122565,103.212097413057
"Ang Mo Kio",2022,5757.78320916455,121.542512755641
"Ang Mo Kio",2023,6172.90519008218,130.305428417439
"Ang Mo Kio",2024,6351.09379580667,134.066857095356
"Bedok",2017,4612.62127043297,100
"Bedok",2018,4475.99887605941,97.0380747439787
"Bedok",2019,4327.85320192228,93.8263288526186
"Bedok",2020,4458.99809732072,96.6695038654705
"Bedok",2021,5040.35685739796,109.273156452423
"Bedok",2022,5380.60080038819,116.649524964861
"Bedok",2023,5859.5409763829,127.032778822374
"Bedok",2024,6112.79010144421,132.523130408025
"Bukit Batok",2017,4050.73050772584,100
"Bukit Batok",2018,3891.5045425542,96.0692036938039
"Bukit Batok",2019,3746.5055019504,92.4896261255789
"Bukit Batok",2020,3830.30942416181,94.5584856078767
"Bukit Batok",2021,4591.71895554706,113.355330520986
"Bukit Batok",2022,5387.9642337645,133.012162213413
"Bukit Batok",2023,6126.83926327558,151.25270001522
"Bukit Batok",2024,6189.56708014817,152.801255683215
"Geylang",2017,5000.41739261614,100
"Geylang",2018,5106.02243067466,102.111924460835
"Geylang",2019,4907.08122655372,98.1334324970503
"Geylang",2020,4864.41416320471,97.2801624597928
"Geylang",2021,5725.31520412704,114.496746063265
"Geylang",2022,5913.27987907068,118.255725768063
"Geylang",2023,6354.82384520789,127.085867963577
"Geylang",2024,7182.73546082291,143.642718134476
"Jurong West",2017,3853.24443956338,100
"Jurong West",2018,3728.78430650394,96.7699912369551
"Jurong West",2019,3729.47128701083,96.787819862096
"Jurong West",2020,3950.20199454211,102.516257572014
"Jurong West",2021,4570.6239487612,118.617544784652
"Jurong West",2022,5031.35267651562,130.57444850516
"Jurong West",2023,5183.6423318004,134.526693364612
"Jurong West",2024,5397.22096539715,140.069519337546
"Kallang/Whampoa",2017,5435.51302515581,100
"Kallang/Whampoa",2018,5356.98606331729,98.5552980652407
"Kallang/Whampoa",2019,5583.780286804,102.727751013787
"Kallang/Whampoa",2020,5190.38378494048,95.4902280781803
"Kallang/Whampoa",2021,6043.95311984132,111.193793334127
"Kallang/Whampoa",2022,7391.57164311421,135.986642087061
"Kallang/Whampoa",2023,7236.64086985105,133.136298935529
"Kallang/Whampoa",2024,8013.0742711382,147.420753736645
"Pasir Ris",2017,3855.88926755532,100
"Pasir Ris",2018,3860.21342140328,100.112144139728
"Pasir Ris",2019,4084.90067687556,105.939263122704
"Pasir Ris",2020,4660.83340131775,120.875706689388
"Pasir Ris",2021,5040.61778421466,130.725169590009
"Pasir Ris",2022,5263.9620854454,136.517459921322
"Pasir Ris",2023,5657.86193337852,146.732998299136
"Pasir Ris",2024,6013.97066409815,155.968448438123
"Sengkang",2017,4523.91371277201,100
"Sengkang",2018,4474.70518284128,98.9122575483303
"Sengkang",2019,4657.85757784752,102.960796195059
"Sengkang",2020,4733.92229536606,104.64218806829
"Sengkang",2021,5196.87794358767,114.875708811946
"Sengkang",2022,5784.3394430828,127.861400776773
"Sengkang",2023,6198.10159398531,137.007511360942
"Sengkang",2024,6737.58843132517,148.932735217815
"Woodlands",2017,3628.1499824759,100
"Woodlands",2018,3542.71249922345,97.6451501821834
"Woodlands",2019,3566.67640165272,98.3056494047905
"Woodlands",2020,3705.8814554832,102.142454787777
"Woodlands",2021,4348.01242026539,119.841033068271
"Woodlands",2022,4963.19873184623,136.796955909173
"Woodlands",2023,5304.35988798674,146.200127161418
"Woodlands",2024,5680.656637289,156.571714640431
"Singapore",2017,NA,100
"Singapore",2018,NA,98.3143383999106
"Singapore",2019,NA,97.9352261279046
"Singapore",2020,NA,100.825654544211
"Singapore",2021,NA,113.088007221771
"Singapore",2022,NA,124.170498159723
"Singapore",2023,NA,132.083040359054
"Singapore",2024,NA,139.706018315734
